treatment,stratum,stratum_group,comment_karma,link_karma,tenure_i,gold,deltas_received,num_cmv_post,num_cmv_comments,cmv_tenure,average_comment_length
1,1,1,14924,47,16.966941583413032,0,1.0,0,0,0,0.0
1,1,1,43380,11574,16.96508672119284,0,3.0,0,0,0,0.0
1,1,1,573221,343157,16.96248741072563,0,2.0,0,0,0,0.0
0,1,1,86014,2574,16.95877439072411,0,1.0,0,1,25,66.0
1,1,1,20747,4032,16.957030722004056,0,1.0,0,0,0,0.0
1,1,1,6376,10901,16.94431670065896,0,1.0,0,0,0,0.0
0,1,1,40360,3269,16.93932408398342,0,2.0,0,0,0,0.0
1,1,1,26620,6738,16.922357901510733,0,1.0,0,0,0,0.0
0,1,1,70303,28216,16.917037566631024,0,2.0,0,0,0,0.0
1,3,2,109680,110064,16.916648753793545,0,23.0,0,0,0,0.0
0,1,1,6609,1811,16.91632309531508,0,1.0,0,0,0,0.0
0,2,2,130852,30578,16.916050355943263,0,15.0,0,0,0,0.0
1,1,1,13552,956,16.911751391509974,0,1.0,0,0,0,59.4
1,1,1,453739,23167,16.903073545285928,1,3.0,0,2,44,204.66666666666663
0,2,2,7010,407,16.90096863236479,0,15.0,0,2,49,266.62068965517244
0,1,1,33294,1848,16.89044067713372,0,2.0,0,0,0,0.0
1,1,1,328325,2430,16.890176810426496,0,7.0,0,0,0,0.0
1,1,1,3100,83,16.883061979133874,0,1.0,0,0,0,0.0
1,1,1,20665,10172,16.88171504527325,0,1.0,0,0,0,0.0
1,1,1,138752,179524,16.874602875780006,0,1.0,0,0,0,0.0
0,1,1,5091,1,16.87170984842685,0,3.0,0,0,0,0.0
1,1,1,1634,2671,16.867707199302707,0,1.0,0,0,0,0.0
0,1,1,149,1,16.856563322708798,0,1.0,0,0,0,0.0
0,7,3,96169,2198,16.855694023395795,0,326.0,0,20,44,154.85
0,1,1,7889,1196,16.850763325243843,0,1.0,0,0,0,0.0
0,1,1,114769,29693,16.84905403809907,0,1.0,0,3,46,48.0
1,1,1,34700,233,16.83134134765366,1,1.0,0,0,0,0.0
1,1,1,19952,4903,16.829217928889243,0,1.0,0,0,0,0.0
0,1,1,72261,3732,16.823420910104545,0,1.0,0,2,44,48.875
0,2,2,40447,866,16.799267457370494,0,11.0,0,0,0,0.0
0,1,1,11920,8274,16.79838922201673,0,1.0,0,0,0,0.0
1,1,1,63861,816,16.79321978581119,0,1.0,0,0,0,0.0
1,1,1,32220,328,16.788145889190407,0,1.0,0,0,0,0.0
1,1,1,31796,71,16.7841519859785,0,1.0,0,0,0,0.0
0,1,1,7243,11822,16.782888645293532,0,2.0,0,0,0,0.0
0,1,1,170319,23844,16.774130596519228,0,3.0,0,0,0,0.0
0,1,1,17445,98,16.757308468093743,0,1.0,0,0,0,0.0
0,1,1,26425,16434,16.756110880190988,0,1.0,0,1,35,156.6
1,1,1,12465,166,16.74979227548087,0,4.0,0,0,11,249.83333333333337
1,1,1,215263,17066,16.738173584579155,0,2.0,0,0,0,67.0
1,1,1,8760,86,16.73042575204436,0,2.0,0,0,0,0.0
0,1,1,195060,27362,16.727027679947625,0,8.0,0,0,0,0.0
0,1,1,261,158,16.72048206177641,0,1.0,0,0,0,0.0
0,1,1,20369,2,16.72046029206008,0,5.0,0,0,0,0.0
0,1,1,27624,624,16.713135780690394,0,1.0,0,0,0,0.0
0,1,1,4091,49,16.703064228988108,0,1.0,0,0,0,0.0
1,1,1,46725,1722,16.70300988391751,0,2.0,0,0,0,0.0
0,1,1,40140,605,16.699704657918065,0,1.0,0,0,0,0.0
1,1,1,59453,16877,16.68688191474368,0,1.0,0,0,0,14.0
0,1,1,9912,681,16.686696919687023,0,1.0,0,0,0,0.0
0,1,1,3595,176,16.666690487005194,0,1.0,0,0,0,0.0
0,1,1,126267,812,16.659749179681445,0,2.0,0,0,0,0.0
0,1,1,12026,4095,16.656780037541356,0,1.0,0,0,0,0.0
0,1,1,8313,327,16.655537484241993,0,2.0,0,0,0,0.0
0,1,1,49133,210,16.65176679192065,0,1.0,0,0,0,0.0
0,1,1,28139,110,16.650838711204756,0,2.0,0,0,40,46.05
1,1,1,68903,6779,16.649316510530433,0,2.0,0,0,0,0.0
0,1,1,200405,888,16.643557295634494,0,2.0,0,0,0,0.0
0,3,2,22540,560,16.642371115443353,0,22.0,0,0,0,202.0
0,1,1,230676,18267,16.6408825358302,0,2.0,0,0,0,0.0
1,1,1,5113,1061,16.639371647803227,0,1.0,0,0,0,0.0
0,1,1,28346,5717,16.636099092222324,0,1.0,0,0,0,0.0
1,4,2,64863,144,16.62905996377149,0,35.0,0,0,0,0.0
1,1,1,19008,741,16.62814728346627,0,1.0,0,0,0,97.0
0,1,1,907144,14396,16.618574977587496,0,3.0,0,0,0,194.0
1,1,1,72515,3306,16.61370261720521,0,1.0,0,0,0,0.0
1,1,1,14231,5351,16.613649476281946,0,2.0,0,0,0,0.0
1,1,1,5430,238,16.605231725882675,0,1.0,0,1,0,111.0
1,1,1,128,122,16.603949530785457,0,1.0,0,0,0,0.0
1,1,1,159724,11020,16.565794601386518,0,2.0,0,0,0,0.0
0,1,1,37540,610,16.553156726516438,0,2.0,0,0,0,0.0
0,1,1,1009,89,16.546517818614696,0,1.0,0,0,0,0.0
0,1,1,125190,55038,16.546484355993964,1,1.0,0,0,0,0.0
1,1,1,20640,2013,16.546091803962124,0,1.0,0,0,0,0.0
1,1,1,93245,13802,16.54299391312125,0,1.0,0,0,0,0.0
1,1,1,20019,2034,16.539706812708037,0,1.0,0,0,0,0.0
1,1,1,24886,59,16.528390616292594,0,4.0,0,0,0,0.0
1,1,1,37315,1016,16.514977935987375,0,1.0,0,0,2,87.0
1,1,1,11539,1348,16.514490002811215,0,1.0,0,0,0,0.0
0,1,1,5065,1369,16.511591493418866,0,1.0,0,0,0,0.0
1,2,2,219626,14347,16.51019138694689,0,12.0,0,0,0,0.0
0,1,1,18694,358,16.50218634220331,0,1.0,0,0,0,0.0
0,1,1,75646,22407,16.495266772907797,0,1.0,0,0,0,0.0
0,1,1,1976,788,16.492621546401345,0,1.0,0,0,0,0.0
0,1,1,40501,1037,16.488604130628286,0,1.0,0,0,0,0.0
1,3,2,20767,2885,16.482846373384387,0,23.0,0,0,0,0.0
0,1,1,4444,54,16.474435594364436,0,2.0,0,0,0,0.0
1,1,1,297704,5117,16.470236986105252,1,2.0,0,0,0,0.0
1,1,1,12388,227,16.465040963594035,0,1.0,0,0,0,0.0
0,1,1,3461,7044,16.464428369480416,0,1.0,0,0,0,0.0
1,1,1,18741,335,16.459230318931578,0,1.0,0,1,0,58.0
1,1,1,282751,1493,16.454628733259664,1,2.0,0,0,16,40.25
1,1,1,12089,4776,16.45370448680239,1,1.0,0,0,0,0.0
0,1,1,86361,417,16.446223689783608,0,1.0,0,0,0,0.0
0,1,1,15024,3902,16.443191393284508,0,1.0,0,0,0,0.0
0,1,1,3578,1473,16.44241579564717,0,1.0,0,0,0,0.0
1,1,1,9917,3611,16.435276881407813,0,4.0,0,0,0,0.0
